id,question,answer
6227,اسم اکرم\nمیں علامت اسم کیا ہے\nنیز ضرب میں علامت فعل کیا ہے,اکرم اس پر الف لام آتا ہے \nضرب میں ماضی ہونا فعل کی علامت ہے
6228,لَتُبْلَوُنَّ کا اصل اور صرفی تحقیق,صیغہ جمع مذکر حاضر فعل مضارع مؤکد بنون توکید ثقیلہ مجہول ثلاثی مجرد ناقص واوی از باب نصر ینصر \nیہ صیغہ فعل مضارع *تُبلَوْن* سے بنایا گیا ہے \nنون اعرابی کو حذف کر کے آخر میں نون توکید کا اضافہ کیا اور واؤ جمع کو ضمہ دیا تو لتبلون بن گیا
6229,سو عوامل کون سے ہیں,شرح مئۃ عامل کتاب کا مطالعہ فرمائیں
6230,رمیت کس باب سے ہے,ضرب یضرب
6231,یُعَارِضُنِی کی تعلیل کریں اصل میں کیا تھا ؟؟,تعلیل نہیں ہوئی اس میں \nیعارض \nصیغہ واحد مذکر غائب فعل مضارع مثبت معروف ثلاثی مزید فیہ صحیح از باب مفاعلہ
6232,محمد منصرف ہے یا غیر منصرف معرب یا مبنی,لفظ محمد معرب منصرف ہے
6233,عن عبد اللہ بن رافع مولی ام سلمہ۔   ترکیب,عن جار \nعبد اللہ موصوف \nبن مضاف رافع مضاف الیہ مرکب اضافی ہوکر صفت \nموصوف صفت ملکر مبین \nمولی مضاف ام سلمۃ مضاف الیہ \nمرکب اضافی ہو کر عطف بیان \nمبین و عطف بیان ملکر مجرور \nجار مجرور ملکر عبارت کے مطابق کسی کے متعلق ہوگا
6234,مبشر کونسا صیغہ ہے,صیغہ واحد مذکر اسم فاعل ثلاثی مزید فیہ صحیح از باب تفعیل
6235,حضرت صیغہ کونسا ہے,حضرۃ اسم جامد ثلاثی مجرد صحیح
6236,یُعَارِضُنِی کی تعلیل کریں \nنصاب صرف کی کتاب کا سوال ہے,اس کا جواب پہلے بھی دیا گیا تھا \nاس میں تعلیل نہیں ہوئی ہے
6237,مزدلفہ شش اقسام اور ہفت اقسام سے کیا ہے,شش اقسام ثلاثی مزید \nہفت اقسام صحیح
6238,لفرضیتھا میں فرضیۃ یہ مصدر ہے یا مشتق یا جامد اس کی مکمل صرفی تحقیق فرما دیجیۓ,یہ مصدر جعلی/ مصدر صناعی ہے \nمصدر صناعی ثلاثی مزید فیہ صحیح\nیا اس کو اسم جامد ثلاثی مزید فیہ صحیح بھی کہہ سکتے ہیں
6239,حفاۃ عراۃ عالۃ یہ صیغے کس باب سے مستعمل ہے اور اس میں کونسے قوانین کی وجہ سے تبدیلی ہوئی ہے,لفظ حفاۃ اور عراۃ یہ دونوں باب ضرب سے آتے ہیں \nاور ان کی تبدیلی درج ذیل قاعدہ کے مطابق ہوئی ہے \nقاعدہ \nاگر اسمِ فاعل کی جمع فَعْلَۃٌ کے وزن پر آئے اور اس کا لام کلمه حرفِ علت ہو تو اسے الف سے بدل کر فاء کلمہ کو ضمہ دینا واجب ہے\nاصل میں یہ عَرَیَۃ حَفَیَۃ تھے\nلام کلمہ (یاء) کو الف سے بدل کر فاء کلمہ ( عین اور حاء ) کو ضمہ دیا \nعالۃ نصر ینصر باب سے ہے اور اصل میں یہ عَوَلَۃٌ تھا \nواؤ متحرک ما قبل مفتوح کو الف سے بدلا تو عالۃ ہو گیا
6240,الاحتیاج مصدر کا مفعول بہ جب ذکر کیا جائے گا تو کیا اس کا صلہ الی لانا لازم ہے,یہ متعدی بالی ہے تو الی کا صلہ ہونا ضروری ہے
6241,مزدلفہ کی صرفی تحقیق,اسم جامد ثلاثی مزید فیہ صحیح
6242,السلام علیکم ورحمۃ اللہ وبرکاتہ!\n میرا اپ سے سوال یہ ہے کہ ماشاءاللہ ہم سیکھتے ہیں لیکن اگے سکھانا چاہتے ہیں تو صرف اور نحو دونوں کو کس انداز میں شروع کروایا جائے بچوں کو؟\n ان کی اؤٹ لائن کیا ہو؟\nکس چیز سے صرف کو شروع کروایا جائے اور کس چیز سے نحو کو شروع کروایا جائے یعنی صرف اور نحو پڑھانے  میں ترتیب کیا ہو؟,صرف و نحو پڑھانے یا کسی بھی فن کو پڑھانے کا طریقہ کار پڑھنے اور پڑھانے والے کے اعتبار سے مختلف ہوتا ہے \nآپ طلباء کو ان کتب سے شروع کروائیں جو انہوں نے پہلے پڑھ لی ہیں \nاس سے طلباء کا پہلے سے مطالعہ اور آپ کی تفہیم اس کتاب کو باریکی سے پڑھانے میں مدد دے سکتے ہیں \nاس میں اہم یہ ہے کہ آپ قواعد کو کس طریقے سے اور کتنی مقدار میں اجراء کرواتے ہیں اگر آپ مکمل اجراء کروائیں گے تو ممکن ہے طلباء اس کے متحمل نا ہوں اور اگر بلکل اجراء نہیں کرواتے تو ممکن ہے کہ طلباء کو کوئی فائدہ نا ہو \nدرمیانی راہ یہ ہے کہ طلباء کو ایک ہی عبارت پر مختلف قواعد کا اجراء کروائیں جیسے اس میں فاعل کا کوئی قاعدہ جاری ہو رہا ہو تو وہ بھی بتائیں اور موصوف صفت یا اضافت کا کوئی قاعدہ جاری ہو رہا ہو وہ بھی بتائیں \nیوں طلباء کو مشق کے ساتھ لیکر چلیں
6243,واذا اصاب الخف نجاسة لها جرم كالروث والعذرة والدم المني فجفت فدلکہ بالأرض جاز \nاسکی ترکیب کر دیں,اذا اسم ظرف برائے شرط مفعول فیہ مقدم\nاصاب فعل الخف مفعول بہ \nنجاسۃ موصوف \nل جار ھا ضمیر مجرور جار مجرور ملکر ظرف مستقر ثابت کے متعلق اس میں ھو ضمیر فاعل اسم فاعل اپنے فاعل اور ظرف مستقر سے ملکر شبہ جملہ اسمیہ ہو کر خبر مقدم \nجرم موصوف \nک جار\n الروث معطوف علیہ العذرہ معطوف اول الدم معطوف ثانی المنی معطوف ثالث \nمعطوف علیہ اپنے معطوفات سے ملکر مجرور جار مجرور ملکر ظرف مستقر ثابت کے متعلق اس میں ھو ضمیر فاعل اسم فاعل اپنے فاعل اور ظرف مستقر سے ملکر شبہ جملہ اسمیہ ہو کر صفت \nجرم موصوف اپنی صفت سے ملکر مبتدا مؤخر \nمبتدا خبر ملکر جملہ اسمیہ خبریہ ہو کر نجاسۃ کی صفت \nنجاسۃ موصوف اپنی صفت سے ملکر اصاب فعل کا فاعل\nفعل فاعل مفعول بہ ملکر جملہ فعلیہ خبریہ ہو کر معطوف علیہ \nف عاطفہ \nجفت فعل اس میں ھو ضمیر فاعل \nفعل فاعل ملکر جملہ فعلیہ خبریہ ہو کر معطوف \nف عاطفہ \nدلک فعل ھو ضمیر فاعل ھاء ضمیر مفعول بہ \nفعل فاعل مفعول بہ ملکر جملہ فعلیہ خبریہ ہو کر معطوف \nمعطوف علیہ معطوف سے ملکر شرط \nجاز فعل ھو ضمیر فاعل \nفعل فاعل ملکر جملہ فعلیہ خبریہ ہو کر جزاء
6244,ینھون کس باب سے ہے؟,باب فتح یفتح سے ہے
6245,الطحاوی اسکے حروف اصلی کیا ہیں اور صرفی دائیرہ کار میں کیا ہے,الطحاوی طحا کی جانب منسوب ہے جو کہ مصر کا ایک گاؤں ہے اس کے حروف اصلیہ میں ط اور ح تو ہیں ہی لیکن آخر میں الف وہ اصل میں یاء تھا یا واؤ اس کی تعیین نہیں مل سکی البتہ اس کی نسبت میں واؤ آنے سے یہ اندازہ ہوتا ہے کہ اس کی اصل میں ط ح کے ساتھ واؤ بھی ہوگی \nتو حروف اصلیہ : ط ح و ہیں اور ہفت اقسام میں ناقص واوی ہوگا
6246,تمام نمازوں کے نام منصرف ہیں یا غیر منصرف بتا دیجئیے,نمازوں کے نام منصرف ہیں اور مفرد منصرف صحیح ہوں گے
6247,نستعین کی سرفی تحقیق,جمع متکلم فعل مضارع مطلق مثبت معروف ثلاثی مزید فیہ اجوف واوی باب استفعال
6248,مضاف الیہ پر الف لام آ جائے تو ھمیں کیا یہ پتہ چلتا ھے کہ وہ منصرف ھے,الف لام منصرف یا غیر منصرف کے ساتھ خاص نہیں ہے
6249,مجھے نحو کے بھت سے قواعد آتے ھیں اور صیغہ کے بھی الحمدللہ لیکن میں مکمل پرفیکٹ جملہ نھیں بنا پا تی آپ بتائیں کہ مجھے کس چیز پر فوکس کرنا چاھیے,پرفیکٹ جملہ بنانے کے لئے الفاظ کا ذخیرہ ہونا چاہئے \nاگر آپ کے مناسب الفاظ موجود ہیں تو پھر آپ جملہ بنا سکتے ہیں اور جملہ بنانے کے بعد صرف و نحو کے اعتبار سے درست کر لیں \nجیسے : زید کھڑا تھا \nاب یہ جملہ بنانے کے لئے پہلے فاعل زید اور اس کا فعل قیام ملائیں \nاب دیکھیں کہ یہ فعل زید سے زمانہ ماضی میں واقع ہوا تھا تو قیام سے مناسب فعل بنا لیں \nقام زید ، زید کھڑا تھا
6250,حرف جر کے بعد آنے والے لفظ پر الف لام آنے کی کیا وجہ ھے؟؟؟,حرف جر کے بعد الف لام آنے کی کوئی خاص وجہ نہیں ہے بلکہ جیسے دیگر اسماء پر آتا ہے ویسے ہی یہاں بھی آ سکتا ہے
6251,ما ضرب ال خالد یہ ‌عبار‌ت صحیح ہے یا نہیں اگر صحیح ہے تو اس کی ترکیب کیجیے,یہ عبارت ٹھیک ہے \nما نافیہ \nضرب فعل الا حرف استثناء اور خالد مستثنی مفرغ ہو کر فاعل \nفعل فاعل ملکر جملہ فعلیہ خبریہ
6252,لن یضرب ہفت اقسام سے کیا ہے؟,ہفت اقسام میں صحیح ہے
6253,وقت الصبح من طلوع الفجر الصادق الی قبیل طلوع الشمس میں وقت الصبح مصدر مضاف اور فاعل مضاف الیہ سے مل کر مبتدا پھر طلوع مصدر مضاف الفجر الصادق موصوف صفت سے مل کر فاعل مضاف الیہ الی جار قبیل مضاف طلوع مصدر مضاف الشمس فاعل مضاف الیہ سے مل کر شبہ جملہ اسمیہ ہو کر قبیل کا مضاف الیہ مضاف اپنے مضاف الیہ سے مل کر الی کا مجرور جار مجرور متعلق مصدر طلوع اپنے فاعل الفجر الصادق اور الی قبیل طلوع الشمس ظرف لغو سے مل کر شبہ جملہ ہو کر من کا مجرور جار مجرور مل کر ظرف مستقر متعلق کائن اسم فاعل کے ہو ضمیر فاعل شبہ جملہ ہو کر وقت الظاہر کی خبر بن سکتا ہے کیا,الی قبیل طلوع الشمس یہ طلوع کا ظرف لغو نہیں بنے گا بلکہ من طلوع الصبح الصادق کو جس کے متعلق کریں گے اسی کے متعلق اس کو بھی کریں گے
6254,یشترط فعل مجہول ہے تو یہ معتدی ہے یا لازم,متعدی
6255,تؤمر تضرب یستحب تؤخر فعل مضارع مثبت مجہول ہیں تو لازم ہیں یا متعدی,یہ سارے متعدی ہیں
6256,یثق ۔لم تتغیر ۔یجمع۔لم یجد۔تجب۔اختار مثبت معروف ہوں تو لازم ہیں یا متعدی,یثق لم تتغیر تجب یہ لازم ہیں \nیجمع اور لم یجد یہ متعدی ہیں
6257,لبیک اصل میں کیا تھا,لبیک اصل میں الب البابین لک تھا جس کا اختصار لبیک ہے
6258,میری نحو کمزور تو نہیں تھی مگر ہوگی ہے اپنی سستی کی وجہ سے سب دوبارہ مضبوط کرنا چاہتا ہوں کیسے کروں اجراء کا کیا طریقہ ہونا چاہیے,سب سے پہلے دہرائی کریں \nاور اس کے بعد کتاب میں موجود امثلہ پر قواعد کا اجراء اور اپنی روزمرہ عبارتوں پر حتی الامکان اجراء کرتے رہیں
6259,السلام علیکم استاد محترم! یہ بتا دیں کہ میں کیسے صرف کی گردانوں کو رواں رکھوں جبکہ میرے ساتھ کوئی دوست ہوتا نہیں جس کے ساتھ اجراء ہی کر لیں جب گھر پڑھتا ہوں تو تسلسل نہیں رہتا؟,آسان طریقہ جس کے لئے کوئی اضافی وقت یا جدول بنانے کی ضرورت نہیں ہے \nوہ یہ ہے کہ آپ روزانہ عبارت میں آنے والے کسی فعل کی کوئی گردان بنایا کریں چاہے صرف صغیر ہو یا کبیر یعنی جیسے دوران عبارت لفظ آیا ہے استعمال اب اسی سے کوئی گردان بنا لیں یوں کرنے سے دہرائی بھی ہوتی رہے گی اور گردانیں پختہ تر بھی ہوتی جائیں گی
6260,بیَْنَ یہ معرب ہے یا مبنی؟؟ اگر معرب ہے تو اسکی صجوه اعراب کے اعتبار سے کونسی قسم ہے آج ہی بتا دیں کل اول وقت میں ٹیسٹ ہے میرا,یہ معرب ہے مفرد منصرف صحیح
6261,مجھے ثلاثی مجرد کے تمام قوانین 21 یادہے مگر میں ثلاثی مجرد کے صیغوں میں قانون نہیں لگا سکتا,قوانین لگانے کے لئے کچھ بنیادی چیزیں ہونی چاہیئں \nکسی بھی لفظ پر جب کوئی قانون لگانا ہو تو یہ چند چیزیں دیکھیں\nمیں مثال کے ذریعے واضح کروں گا \nجیسے لفظ قال \nاب اس پر قانون لگانے سے پہلے یہ معلوم ہونا چاہئے کہ یہ صیغہ کونسا ہے ؟\nصیغہ معلوم ہو تو یہ دیکھنا چاہئے کہ صیغہ کے باب کی مناسبت سے اس کا اصل وزن کیا بنے گا مثلا ہماری جو مثال تھی \nقال یہ صیغہ واحد مذکر ہے باب نصر سے تو اس کا وزن کا قَوَل ہوگا \nاب آگے قواعد لگانے ہیں تو قواعد کی بھی چھانٹی کریں اس میں واؤ متحرک ہے تو وہ قواعد دیکھیں جو واؤ پر جاری ہوتے ہیں اور واؤ متحرک والے قواعد دیکھیں \nیوں آپ کسی بھی صیغے پر قاعدہ جاری کر سکتے ہیں تھوڑی سی مشق کرنے سے آپ کو یہ چیزیں سمجھ آنا شروع ہو جائیں گی
6262,الاوّل کس باب سے ہے?,مشہور قول امام سیبویہ کا ہے اس کے مطابق اس کا باب نہیں ہوگا اور نا اس کا فعل استعمال ہوگا
6263,لفظ ثلاثہ ثلاثی مجرد ہے یا مزید فیہ ؟ اگر مجرد ہے تو اسمیں الف کون سی ہے ؟,یہ مزید فیہ ہے
6264,جامد کی صرفی تحقیق میں کن حروف کو زائد شمار کرکے انہیں مزید فیہ کہیں گے؟ وضاحت فرمادیں۔,جو بھی حروف اصلیہ کے علاوہ حرف زائد ہو چاہے وہ جمع کا ہو یا مفرد کا وہ زائد ہوگا اور کلمہ مزید فیہ کہلائے گا
6265,مرکب غیر مفید میں اسناد جاری نہیں ہوتی ہے لیکن اگر جملہ میں رجل صالح مل کر مبتدا بن رہے ہو تو کیا رجل صالح پورے کو مسند الیہ کہے گے یا صرف رجل کو ۔۔۔کیونکہ مرکب غیر مفید میں اسناد جاری نہیں ہوتی ہے,اصولی طور پر صرف رجل کو مسند الیہ کہنا چاہئے لیکن ہمارے ہاں مروج طریقہ کار پورے مرکب کو مبتدا بنانے کا ہے تو اگر کوئی پورے رجل صالح کو بھی کہتا ہے تو غلط نا کہا جائے
6266,لام تاکید با نون تاکید کی گردان میں وہ سات صیغے کن سے ہیں جن سے ن اعرابی گر جا تا ہے,چاروں تثنیہ کے صیغے \nجمع مذکر حاضر و غائب \nاور صیغہ واحد مؤنث حاضر کا صیغہ \nیہ سات صیغے ہیں جن کے آخر سے نون اعرابی گر جاتا ہے
6267,اسفل صیغہ حل کرے,صیغہ واحد مذکر اسم تفضیل ثلاثی مجرد صحیح از باب کرم یکرم
6268,سوی حرف استثناء ترکیب میں کیا بنے گا ؟,یہ ما بعد کی طرف مضاف ہوگا سور مرکب اضافی ہو کر مفعول فیہ بنے گا
6269,موسیٰ اور یحیٰ میں جو الف مقصورہ ہے وہ تانیث کےلیے ہے یا نہیں؟\nموسیٰ اور یحیٰ منصرف ہے یا غیر منصرف اگر منصرف ہے تو کس وجہ سے\nاور اگر غیر منصرف ہے تو کن کن سبب کی وجہ سے,یہ دونوں عجمی لفظ ہیں ان کے الف مقصورہ تانیث کے لئے نہیں ہوں گے
6270,فرضیۃ کا باب,اس کا باب نہیں ہوگا
6271,الاوقات کی صرفی تحقیق,اسم جامد ثلاثی مزید فیہ مثال واوی
6272,عامل معنوی ابتداء کے کتنے معمول ہیں,دو معمول ہیں \nمبتدا اور خبر
6273,سنین ۔۔۔معرب کے اقسام میں سے کیا ہے ۔۔۔,جمع مذکر سالم
6274,لفظِ وضو کی جمع آتی ہے؟ \nاور کیا,نہیں
6275,لات ترکیب میں کیا واقع ہوتا ہے,لا و ما مشابہ بلیس کی طرح عمل کرنے والا حرف ہے
6276,کیا فاعل کو سید المرفوعات کہنا درست ہے,سب مرفوعات کی اصل تو فاعل ہی ہے تو اس اعتبار سے کہہ سکتے ہیں لیکن یہ اصطلاح کبھی نظر سے نہیں گزری
6277,نواب کونسا صیغہ ہے,نواب ( نون کی فتحہ کے ساتھ) عربی زبان میں استعمال نہیں ہوتا اس وجہ سے صرفی تحقیق نہیں ہوگی
6278,مہما یکن من شیئ کی ترکیب و ترجمہ کر سکتے ہیں,مھما مبتدا ہے \nیکن فعل ناقص اس میں ھو ضمیر اس کا اسم من شیئ جار مجرور ملکر ظرف مستقر ہو کر خبر \n اس کا ترجمہ یوں بنے گا : جو بھی ہو
6279,سوال عرض ہے کہ موسی اور اسم جلالت اللہ کا نحوی اجراء بیان فرمائیے,موسی لفظ موضوع مفرد اسم معرفہ مذکر واحد معرب غیر منصرف اعراب تقدیری اعراب بالحرکت \nاللہ لفظ موضوع مفرد اسم معرفہ مذکر واحد معرب مفرد منصرف صحیح اعراب لفظی اعراب بالحرکت
6280,عطشان صفت مشبہ ہے مگر اسکو صفت مشبہ میں کیوں داخل کیا گیا ہے پیاسا ہونا صفت کیسے بن رہا ہے؟,عطشان پیاسا ہونا ایک صفت ہی ہے \nجیسے بھوکا ہونا صفت ہے
6281,عندی ثمانیۃ عشر کتاباََ . . . .  ترکیب کریں,عند مضاف یاء ضمیر متکلم مضاف الیہ مضاف مضاف الیہ ملکر مرکب اضافی ہو کر مفعول فیہ ثابت اسم فاعل کا اسم فاعل اپنے فاعل اور مفعول فیہ سے ملکر شبہ جملہ اسمیہ ہو کر خبر مقدم\nعشرون ممیز قلما تمییز ممیز تمییز ملکر مبتدا مؤخر \nمبتدا خبر ملکر جملہ اسمیہ خبریہ
6282,ظالِمِینَ کونسا صیغہ ہے,صیغہ جمع مذکر اسم فاعل ثلاثی مجرد صحیح از باب ضرب یضرب
6283,کیا معرب کی پہچان میں حروف اصلیہ کو دیکھا جائے گا؟ جیسے الصلاۃ اسکو ہم مفرد منصرف صحیح کہتے جب کہ اصلی حروف ص ل و ہیں ۔۔۔,معرب کی اقسام پہچاننے کے لئے حرف اعراب/محل اعراب دیکھا جاتا ہے \nجیسے صلاۃ میں حرف اعراب ۃ ہے تو یہ مفرد منصرف صحیح ہوگا
6284,استحاضہ کس باب سے ہے,باب استفعال سے
6285,مبتدا کی تعریف,جملہ اسمیہ کے پہلے جز کو مبتدا کہتے ہیں
6286,مزدلفہ کے حروف اصلی کیا ہیں,مزدلفہ کے حروف اصلیہ د ل ف ہے
6287,لمن ھذا القلم کی ترکیب کیجیے,ل جار من استفہامیہ مجرور جار مجرور ملکر ظرف مستقر ثابت کے متعلق اس میں ھو ضمیر فاعل اسم فاعل اپنے فاعل اور ظرف مستقر سے ملکر شبہ جملہ اسمیہ ہو کر خبر مقدم\nھذا مبدل منہ القلم بدل مبدل منہ بدل ملکر مبتدا مؤخر \nمبتدا خبر ملکر جملہ اسمیہ انشائیہ
6288,"مصدر اسم ہے لیکن اسم کی طرح اسکا کوئی جنس نہیں ہوتا "" کیا یہ point دسرست ہے ؟ اور کیا مصدر  کا مثني  یہ جمع بنتی ہے ؟",جی مصدر کی جنس مذکر و مؤنث خاص نہیں ہوتی \nاور یہ کہ اس کی جمع و تثنیہ بعض اوقات بنتی ہے جب فعل کی اقسام ہوں مختلف طرح کی
6289,احصينا صيغه كى صرفى تحقيق,صیغہ جمع متکلم فعل ماضی مثبت معروف ثلاثی مزید فیہ ناقص یائی از باب افعال
6290,قران پاک کی ایات مبارک ہے وكل شيء احصيناه في امام مبين اسكي نحوي تركيب كري,کل مضاف شیئ مضاف مضاف الیہ \nمرکب اضافی ہو کر مفعول بہ فعل محذوف احصینا کا اس میں نا ضمیر فاعل \nفعل فاعل ملکر جملہ فعلیہ خبریہ \nاحصینا فعل نا ضمیر فاعل ھاء ضمیر مفعول بہ فی جار امام موصوف مبین صفت موصوف صفت ملکر مجرور جار مجرور ملکر ظرف لغو \nفعل فاعل مفعول بہ ظرف لغو ملکر جملہ فعلیہ خبریہ
6291,قران پاک ایات میں كل شيء احصيناه في اما م مبين میں احصیناہ کی ہ ضمیر کہاں مرجع کون ہے,یہ ھاء ضمیر کل شیئ کی طرف راجع ہے
6292,ایاک‌ نعبد میں ‌ جمع کا صیغہ کیو لے آیا واحد کا صیغہ کیو نہیں ہے,یہاں جمع کا صیغہ لانے کی وجہ یہ ہے کہ یہاں اس طرف اشارہ مقصود کہ یہ الفاظ جماعت کے ساتھ ادا کیئے جائیں گے اس سے جماعت کی اہمیت کی طرف اشارہ ہے کہ اکیلے نماز پڑھنا یا دعا کرنے سے افضل جماعت کے ساتھ پڑھنا ہے \nعلماء بلاغت نے اس کے علاوہ بھی مختلف توجیہات ذکر کی ہیں
6293,آپ کے سوالات میں ایک سوال پوچھ آگیا ہے کہ \nفرضیتہ کا باب کیا ہے ۔۔ \nجس کے جواب میں آپ نے لکھا کے باب نہیں ہوتا اس کی کیا وجہ ہے کہ باب نہیں,در اصل یہ صیغہ مصدر صناعی ہے \nمصدر صناعی جامد اسم مشتق وغیرہ سے بنتا ہے \nاور بنانے کا طریقہ یہ ہوتا ہے کہ کسی اسم کے آخر میں یاء مشدد لگا دیتے ہیں تو مصدر معنی حاصل ہو جاتے ہیں \nاب اس کا باب کیسے بنے گا کونسا اس سے افعال وغیرہ مشتق ہو رہے ہیں
6294,اگر ہم رجل صالح میں رجل صالح پورے کو مسند الیہ کہہ دے گے تو اس طرح مرکب غیر مفید میں اسناد جاری ہو جائے گی کیونکہ رجل صالح کا تعلق مرکب غیر مفید میں سے مرکب توصیفی سے ہے تو پھر کیا کہا جائے اس میں ۔۔۔۔؟,رجل صالح کو اگر مسند الیہ کہیں گے تو اس میں اسناد کیسے جاری ہوگی؟؟\nہم تو تو دونوں کو ملا کر کسی اور چیز کے لئے مسند کہہ رہے ہیں جیسے رجل صالح قائم میں رجل صالح مسند الیہ قائم مسند
6295,سارّھا کی صرفی تعلیل کریں اور صرفی تحقیق کریں,سَارَّ صیغہ واحد مذکر غائب فعل ماضی مثبت معروف ثلاثی مزید فیہ مضاعف از باب مفاعلہ \nیا سارٌّ \nصیغہ واحد مذکر اسم فاعل ثلاثی مجرد مضاعف از باب نصر ینصر\n\nیہ صیغے اصل میں سارَرَ یا سارِرٌ ہوں گے \nان دونوں صیغوں میں مضاعف کا ایک ہی قاعدہ جاری ہوا ہے \nقاعدہ\nاگر دونوں ہم جنس حروف متحرک ہوں اور ان کا ماقبل حرف بھی متحرک یا مدہ ہو تو پہلے حرف کی حرکت کو حذف کر کے ادغام کرنا واجب ہے\n\nاس قاعدے کے مطابق پہلے راء کو ساکن کر کے دونوں کا ادغام کیا تو سارّ ہو گیا
6296,تم دونوں مرد مدد کرو اسکی عربی کیا بنے گی,اُنْصُراہ
6297,بأسانید صحیحۃ اس کا اعراب کیا ہوگا اور بأسانید کیا بن رہا ہے ؟,*بِأَسانِیدَ صحیحۃٍ* یہ درست اعراب ہے لفظ اسانید موصوف ہے
6298,السلام علیکم ورحمتہ اللہ وبرکاتہ \nسوال یہ ہے کہ سویٰ کی صرفی تحقیق ھوگی یا نہیں اگر ھوگی تو کیوں ھوگی حالانکہ کہ یہ تو حرف استثنا ھے,و علیکم السلام \nلفظ سوی حرف نہیں بلکہ اسم ہے \nاور اس کی صرفی تحقیق بھی ہوگی اور معرب ہے
6299,مریم کی کیا ہے صیغہ کیا ہے,یہ اسم عجمی ہے اس کی صرفی تحقیق نہیں ہوگی
6300,اسلام علیکم محترم بمزحزحہٖ کونسا صیغہ ہے اور اس کی تعلیل بتاے,مُزَحْزِح صیغہ واحد مذکر اسم فاعل رباعی مجرد مضاعف از باب فعللۃ
6301,الاستواء ، عشاء ،شتاء ، ابتداء\nمعرب کی کون سی قسم ہیں ؟\nغیر منصرف۔ یا مفرد منصرف صحیح ۔یا جاری مجری صحیح\nہر کوئی الگ الگ بتا رہا ہے آپ پلییز دلیل کے ساتھ واضح جواب عطا فرما دیجیے,یہ چاروں لفظ منصرف ہیں \nغیر منصرف جو لوگ کہتے ہیں وہ کہتے ہیں اس کے آخر میں الف ممدودہ ہے \nتو ان کی بات غلط ہے کیوں کہ الف ممدودہ جو غیر منصرف کا سبب بنتا ہے وہ تانیث کا ہوتا ہے اور وہ ہمیشہ زائدہ ہوتا ہے جبکہ ان کے آخر میں الف ممدودہ واؤ یا یاء سے تبدیل ہو کر بنا ہوا ہے تو یہ غیر منصرف کا سبب نہیں ہوگا \nاب یہ معرب کی سولہ اقسام میں سے کونسی قسم ہوگی تو یہ مفرد منصرف صحیح ہیں کیوں کہ اس کے علاوہ کسی قسم میں داخل ہو ہی نہیں سکتے
6302,اصطفیٰ کی صرفی تحقیق کریں,صیغہ واحد مذکر غائب فعل ماضی مثبت معروف ثلاثی مزید فیہ ناقص یائی از باب افتعال \nاصل میں یہ صیغہ اصتَفَیَ بر وزن افتعل تھا \nیاء متحرک ما قبل مفتوح کو الف سے بدلا تو اصتفٰی ہو گیا \nقاعدہ :\nاگر باب اِفْتِعَالٌ کافاءکلمہ صاد، ضاد، طاء یا ظا ء ہو تو تائے اِفْتِعَالٌ کوطاءسے بدلنا واجب ہے، \nاس قاعدہ کے مطابق تاء کو طاء سے بدلا تو اصطفی ہو گیا
6303,مُرْسَلِیْنَ کونسا صیغہ,صیغہ جمع مذکر اسم مفعول ثلاثی مزید فیہ صحیح از باب افعال
6304,الکوکب ضعیف  یغلبہ الصبح   ہ ضمیر کس کی لوٹ رہا ہے,یہاں ھاء ضمیر جو یغلبه کے ساتھ ہے وہ الکوکب کی طرف لوٹ رہی ہے
6305,صار یصیر کا امر کیا ہوگا,اس سے فعل امر صِر ہوگا
6306,الاول اسم معرب کی کونسی قسم ہے,لفظ اول جب بطور وصف استعمال ہوتا ہے تو یہ غیر منصرف ہوگا اور معرب کی سوکہ قسموں میں بھی غیر منصرف ہوگا
6307,تجوید کون سا صیغہ ہے,مصدر ثلاثی مزید فیہ اجوف واوی از باب تفعیل
6308,تعال کیا ہے فعل مجزوم کیوں ہوگا کونسی کتاب میں اسکی وضاحت ملیگی,یہ اسم فعل ہے اس کی وضاحت ڈکشنری یا پھر موسوعۃ النحو و الصرف میں دیکھیں
6309,جو اسم منصوب ہو اس کے آخر میں الف علامت نصب آتا ہے جیسے رایت زیدا ، رایت عمرا ، \nاور جس اسم کے آخر میں یاء ہو تو اس کے ساتھ حالت نصبی میں الف نہیں آتا جیسے لیسوا سواء، اسکنت یاء یہ کیوں؟؟,تنوین جب نصب کی صورت میں ہو اس کے آخر میں الف لکھا جاتا ہے لیکن ہر اسم کے آخر میں نہیں لکھا جاتا جیسے گول تاء کے بعد ،تنوین جب ہمزہ پر ہو تو ان صورتوں میں الف نہیں لکھا جاتا \nیہ مسئلہ علم الخط یعنی خط کے قواعد و ضوابط سے ہے
6310,ان ىؤتی بمشهبتين أو اكثر ثم به۔       مذکورہ عبارت کی نحوی ترکیب بتائیں,ان مصدریہ \nیوتی فعل ب جار مشبھتین معطوف علیہ او حرف عطف اکثر معطوف معطوف علیہ معطوف ملکر مجرور \nجار مجرور ملکر معطوف علیہ \nثم حرف عطف ب جار ھاء ضمیر مجرور جار مجرور ملکر معطوف \nمعطوف علیہ معطوف ملکر نائب الفاعل یوتی فعل کا \nیوتی فعل اپنے نائب الفاعل کے ساتھ ملکر جملہ فعلیہ خبریہ ہو کر ان مصدریہ کے ساتھ ملکر مصدر مؤول \nاب یہ مصدر مؤول عبارت کے مطابق ترکیب کا حصہ بنے گا
